Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,47.597854553881,54.196323353874,53.639650382218,47.355809195628,50.158869260435,52.523334076347,47.769532320388,49.653541127321,50.183614353596,51.983627577791,55.521732102249,56.102425820236,57.357256159505,55.012236272076,59.123875913723,52.394545750535,60.919986854511,67.16342732638,76.7303088963,84.70713619794,88.569917296674,79.131289981918,82.556432618242,86.455787826316,91.931027673227,102.970226339789,106.005201177818,109.698599716493,118.835620903508,102.737047202958,100.132120861788,98.991988680816,99.283813964123,100,99.67587209142,102.087592429629,99.905007318822,96.358733351348,99.161275562227,102.358753287102
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,37.72733443467,39.869135040469,40.47666737405,40.677084238558,41.864260448158,42.584477792567,42.742531980863,43.707557542331,44.733897984016,46.424787664479,48.361830345113,50.523833733835,52.486120947376,54.67027473594,58.218779452503,55.990268998978,58.240675720103,62.493985902087,66.524893859625,69.359244622584,74.256136307771,74.446736219059,77.431792878134,79.226211871218,81.66913727508,84.399796971708,87.040679342218,89.252231580488,90.121316378721,85.231892749184,89.619768508897,94.222511983285,97.496859495104,100,100.731698206571,105.045579493807,108.943729644774,110.960228085147,113.211164978708,114.415609035949
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,9.351570037645,0.142993326762,-4.917361894795,4.068680503891,3.044410711215,-3.791382179015,2.876736639663,1.506336465375,3.434102757824,5.389729577741,2.934600426736,2.92798238196,1.552869779597,7.208899415642,-7.041481235021,8.702347554477,7.051223564937,9.578302201689,6.515690037761,5.430526444163,-4.757510935472,3.866879572869,4.283442929133,4.734299574646,6.431947130948,3.005390619972,3.202463543676,4.168647488202,-9.022712169162,1.927458509322,1.90832899085,2.102331107374,1.473092078333,0.982565766684,3.075101539459,1.597909966564,-0.417342074595,2.031124196612,1.824656103489
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,7.720030033775,-2.740589362379,1.686794458664,1.107212095093,2.776359612259,-1.646908986578,1.01321042341,-3.59815971636,-1.517325842693,7.03975383602,2.151017111179,-1.993591038448,20.107739785285,12.773130885767,-9.34994271746,7.651268962914,-18.089377791934,6.18184507433,-3.583089207586,-7.532852181539,-9.060026078971,-4.739274853443,36.967762904351,11.727680485146,-9.295385099777,1.824892164117,9.978074206269,0.358883697118,-2.630269739168,7.859668632758,-11.083081659571,0.611769611341,-8.353951159772,22.579681951892,-8.969924952851,7.685992366417,-6.084261064161,-7.5627280027,0.429697391798
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,13.862954248333,-1.027141579366,-11.71491824017,5.919147222735,4.713951591762,-9.050837764886,3.943954892204,1.067543651954,3.58685448902,6.806190120464,1.045885450614,2.236677507119,-4.088445027613,7.47404563107,-11.381747321518,16.271619463155,10.248591298583,14.244183107914,10.39592752379,4.560160184978,-10.656696543071,4.328430178639,4.723260301357,6.332993989842,12.008131472,2.947429510365,3.484167283904,8.32920494029,-13.546926063206,-2.535527749814,-1.138627816089,0.294796869116,0.721352260033,-0.32412790858,2.419562816562,-2.137953358349,-3.54964587126,2.908446503401,3.224522583787
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,5.677052561207,1.523816187545,0.495141713757,2.918538119983,1.72036323274,0.371154459299,2.257764144389,2.348199028717,3.779884509657,4.172431965942,4.470474697285,3.883884235465,4.161393048562,6.490738767461,-3.827820635339,4.01928185265,7.302989069743,6.450073394027,4.260586674426,7.06018600957,0.256679004274,4.009654164411,2.317418887495,3.083481269852,3.343563783991,3.129015074996,2.540826030981,0.973740132704,-5.425379728132,5.148161818517,5.135857357109,3.475122285426,2.56740629171,0.731698206571,4.28254597514,3.710913081495,1.850954109014,2.028597933156,1.063891584782
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Total<C1>,NA,9.351570037645,0.142993326762,-4.917361894795,4.068680503891,3.044410711215,-3.791382179015,2.876736639663,1.506336465375,3.434102757824,5.389729577741,2.934600426736,2.92798238196,1.552869779597,7.208899415642,-7.041481235021,8.702347554477,7.051223564937,9.578302201689,6.515690037761,5.430526444163,-4.757510935472,3.866879572869,4.283442929133,4.734299574646,6.431947130948,3.005390619972,3.202463543676,4.168647488202,-9.022712169162,1.927458509322,1.90832899085,2.102331107374,1.473092078333,0.982565766684,3.075101539459,1.597909966564,-0.417342074595,2.031124196612,1.824656103489
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,0.41132506107,-0.143840634978,0.085982655643,0.060359112346,0.147044853282,-0.086998647368,0.054716283102,-0.190791213676,-0.07640978175,0.337538766438,0.104750682784,-0.096345266474,0.925291521515,0.695170737288,-0.535276121916,0.427150852128,-1.000118975761,0.261513880275,-0.146879081866,-0.279512607001,-0.294844132889,-0.147264825546,1.053530467721,0.438974261034,-0.371164274909,0.062100252193,0.33565791486,0.012865300639,-0.090841708623,0.290522801392,-0.433515276624,0.020878846219,-0.280946520121,0.685823554985,-0.330716204759,0.250263632643,-0.209981037212,-0.246153141826,0.012670800941
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,6.03851382228,-0.465867066171,-5.25129608896,2.463612998994,1.996884245842,-3.896158907156,1.604961237717,0.438935097497,1.468408811748,2.790475370333,0.434566628233,0.91228991113,-1.656383638854,2.859810430471,-4.365793604434,5.950028243022,4.008549221101,5.737755099983,4.365934664976,1.984876797958,-4.600191600289,1.752729949168,1.921109235363,2.586705870247,4.979577737874,1.286287516672,1.519669613552,3.642818841162,-6.161455510741,-1.095868335614,-0.470572929093,0.118191153425,0.284087579467,-0.126704468107,0.933589692044,-0.819684115384,-1.310879708343,1.040300975445,1.16327313656
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,2.901731154294,0.752701027911,0.247951538522,1.54470839255,0.900481612091,0.191775375509,1.217059118844,1.258192581555,2.042103727825,2.26171544097,2.395283115719,2.112037737304,2.283961896936,3.653918247882,-2.140411508671,2.325168459327,4.042793319598,3.579033221431,2.296634454651,3.725162253205,0.137524797707,2.261414449247,1.308803226048,1.708619443365,1.823533667983,1.657002851108,1.347136015265,0.512963346402,-2.770414949799,2.732804043545,2.812417196568,1.963261107729,1.469951018987,0.423446679806,2.472228052174,2.167330449305,1.10351867096,1.236976362992,0.648712165987
