Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,44.013759962099,49.905854420504,49.009171434095,42.918606821704,45.115664160723,46.96113763097,43.115552389498,45.257881848572,46.99224395361,50.439709714978,55.868072697225,60.003055366015,64.104640068545,64.025759408293,76.43969294453,59.171934350175,62.619497780345,67.550859957134,68.516937819085,61.949130085412,57.652996274007,65.587619350086,68.830192638135,66.703294849919,73.208318218491,74.839372933888,80.281947918039,88.249028004838,95.150191273631,87.222440746243,92.088017028866,90.634721916908,93.706791678923,100,108.568708001819,101.015024225198,103.948242299815,99.233659604307,104.083165795604,104.695935100653
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,67.746000583047,69.894086243923,70.620259385747,70.913102925753,71.9754018177,72.549462190663,72.558600215835,73.169757559531,73.742961449824,74.782440292233,75.928596130696,77.159703477623,78.120573364097,78.191393209862,81.090394778298,78.144906271835,79.948585242818,82.261900333975,85.354718325362,87.787320778816,90.07155102038,89.217846945896,87.740480036899,86.630859422618,91.23595036164,92.209668693638,93.032130739446,94.181377992136,94.224338945911,92.227399271204,96.951157963667,98.938457537153,100.628740854569,100,102.405581962164,105.916719711634,107.192020599993,108.067392902493,110.839885772335,110.931915769528
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,4.76755900415,0.4603169034,-1.295844752821,1.940904115043,1.342227783282,-1.154015419013,1.356871297909,0.899741727044,1.984714020603,3.08168443629,2.437218924491,1.677535747766,0.106681298572,5.856195055693,-6.355074630958,2.768421288518,2.809903842462,3.906659093369,1.20237400871,1.043828513615,0.709975876049,-0.782515239734,-0.705712616465,5.387576772245,1.382468790403,2.213279098832,2.675735495499,1.661945443824,-3.382630076534,5.292812165988,1.221215001416,1.69728552426,0.317670009815,4.043494941109,0.844052270192,2.005598331002,-0.038793256768,2.815875193344,-0.030134700574
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,7.210380626433,-1.772810830158,1.98507849679,1.360950040526,2.783841219655,-1.34186851779,0.981750372448,-3.607623438676,-1.973568664331,6.473232950565,0.966732058463,-6.281172487238,1.047001443606,-3.718991689955,11.741484702258,1.063588473784,-12.136399800795,14.554002348582,9.126277022976,-0.791684949467,-5.772177080961,-3.646810950343,15.03261668894,-4.800485566356,3.460894297971,6.207555140992,0.765809498294,3.772236398157,-3.366237586197,6.645484325536,-0.803189333435,-3.694080951682,-7.658086650615,11.531908219388,-6.016487143063,10.982235541286,3.431011041967,-0.333517128318,-3.683492236188
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,13.386937320237,-1.796749092508,-12.427397636342,5.119125483609,4.090538185745,-8.188867296383,4.968809026777,3.832176925206,7.336244178445,10.762082123234,7.401334016298,6.835626415207,-0.123049845016,19.388967270303,-22.590041808364,5.826349042044,7.875122528269,1.430148872366,-9.585670263045,-6.934938078198,13.762724557053,4.94388014107,-3.090065139579,9.752176984971,2.22796364551,7.272341777849,9.923874910126,7.82010116691,-8.331828261479,5.578353736715,-1.578158764676,3.389506468428,6.715850802619,8.568708001819,-6.957514661125,2.903744365866,-4.535509779867,4.886956916266,0.58873046411
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,3.170793319737,1.038962208175,0.414673554803,1.498029063908,0.797578559432,0.012595579479,0.842294837384,0.783389079602,1.409597366275,1.532653700499,1.62140143459,1.245300128392,0.090654539151,3.707571190931,-3.632351913586,2.30812097299,2.893503473677,3.759721060212,2.849991776883,2.602004732915,-0.947806565795,-1.655909618501,-1.264662119257,5.315762731334,1.067252906489,0.891947728975,1.235322940102,0.045615125506,-2.119345911096,5.12186045556,2.049794572058,1.708418909584,-0.624812403722,2.405581962164,3.428658557663,1.204060031156,0.816639426703,2.56552212039,0.08302967524
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Total<C1>,NA,4.76755900415,0.4603169034,-1.295844752821,1.940904115043,1.342227783282,-1.154015419013,1.356871297909,0.899741727044,1.984714020603,3.08168443629,2.437218924491,1.677535747766,0.106681298572,5.856195055693,-6.355074630958,2.768421288518,2.809903842462,3.906659093369,1.20237400871,1.043828513615,0.709975876049,-0.782515239734,-0.705712616465,5.387576772245,1.382468790403,2.213279098832,2.675735495499,1.661945443824,-3.382630076534,5.292812165988,1.221215001416,1.69728552426,0.317670009815,4.043494941109,0.844052270192,2.005598331002,-0.038793256768,2.815875193344,-0.030134700574
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,0.428877732337,-0.107906527151,0.118140873356,0.083688517286,0.170212065999,-0.083212820538,0.060765238671,-0.222466709544,-0.11626492232,0.366543743473,0.056541800002,-0.362096852424,0.0556330852,-0.199467175845,0.572787587094,0.061911937182,-0.694745392373,0.712020147416,0.492232602789,-0.046043439194,-0.329604622262,-0.194837955064,0.779960800615,-0.288549347518,0.1879180851,0.343964953284,0.044092268919,0.213150313528,-0.194157691405,0.383362960745,-0.04692942042,-0.211524087295,-0.415257338969,0.575598495614,-0.321918300574,0.547639559352,0.186146825867,-0.018722806191,-0.200447901449
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,1.777503157462,-0.258197946866,-1.745729158779,0.6380067397,0.525706322869,-1.080954439374,0.609217226587,0.486600437475,0.95861148141,1.480050256282,1.093703921208,1.059058575002,-0.020031516139,3.149123088017,-4.138089783122,0.882250591333,1.227967598744,0.233989939447,-1.530953868051,-0.989529561931,1.808703925671,0.733936504202,-0.48520704136,1.494531499481,0.355578360594,1.170330037428,1.676084046033,1.414005468474,-1.597792380656,1.014961211655,-0.287918948338,0.601278897498,1.211177057482,1.643892576738,-1.392842334526,0.536336337807,-0.845107819232,0.869630754001,0.106874524998
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,2.561178114351,0.826421377417,0.331743532602,1.219208858056,0.646309394414,0.010151840899,0.686888832651,0.635607999113,1.142367461513,1.235090436535,1.286973203281,0.980574025189,0.071079729511,2.906539143521,-2.78977243493,1.824258760003,2.27668163609,2.960649006505,2.241095273972,2.07940151474,-0.76912342736,-1.321613788872,-1.000466375721,4.181594620283,0.838972344709,0.69898410812,0.955559180548,0.034789661823,-1.590680004473,3.894487993589,1.556063370174,1.307530714058,-0.478249708698,1.824003868757,2.558812905292,0.921622433843,0.620167736597,1.964967245534,0.063438675876
