Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,44.163876789792,50.174021044873,49.666913222593,43.880841388796,46.202841059223,47.991772059851,43.225602087914,44.387098539942,44.380672372635,45.6727122886,48.801708674467,50.059709804561,53.256038384655,53.795545524109,55.014283350891,50.964876356959,65.094849180133,72.633753671011,75.236886582438,76.54948010244,77.368665549406,76.833164271341,82.412371411252,87.420607072934,88.811920418778,89.240894224049,94.135146828624,98.571285709128,96.630868669251,72.355907689583,91.442703579479,99.46575247586,105.406357350871,100,105.368891999437,104.041936574438,104.224472652826,111.330534612035,110.568708135791,108.098694220895
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,35.659449077497,37.94530096521,38.522645234112,38.631138357565,39.810767343893,40.454447831259,40.453954219891,41.326824861614,42.246247842557,43.88397432685,45.77533538891,47.897218591667,49.776649706617,51.791141661663,53.760007754244,53.813422779951,56.981263642928,60.510457796463,64.660266263788,67.168531709701,69.828252973436,70.161287775818,72.412691061241,73.896075690263,77.096263586024,79.950363937408,83.623167217875,86.558079836172,88.041714690353,83.62511752587,89.95005525933,94.602650553046,98.544113989581,100,102.025211005483,105.684645343028,109.214542299382,113.041894212824,116.204105814298,117.23181192266
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,10.389711485037,-0.081559926817,-6.475878326979,4.155364119327,2.84405000421,-5.495377727197,2.371884231907,0.878597902243,3.212366178076,5.626009419295,3.449765524722,5.062074467142,2.422377582248,2.78770898654,-3.37043359981,16.097385617989,9.022097410967,5.062162935387,2.554150614902,2.368432709713,-0.182177231854,5.302838153527,4.475008553842,2.879323523238,2.165013348662,4.711658119948,4.160448321026,-0.429964788688,-15.451565089995,16.287635815759,6.787471263294,5.035231631179,-2.064375907551,3.903733416229,0.842478985976,1.474508893362,5.151378928011,1.066397679572,-0.648937214172
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,5.592904446117,-2.611950936081,0.85432734311,0.470440696645,1.7201013972850001,-1.454475333426,0.529214410405,-2.390224634814,-0.613328115041,4.330497901541,1.504653957128,-0.199709985887,3.132950016422,-2.901735883874,12.474065686043,-10.688428694076,2.426585569804,7.928816912638,-1.899684084429,3.280655856555,-0.710367870975,0.273399294984,11.585479483057,6.828087909699,11.980777424801,-7.674308850784,3.489771495021,-3.700141161464,8.601157043203,1.125812139016,-3.543301716863,0.9814665346,-0.167498664279,8.581408329878,-4.985731806013,-7.044707436772,2.559765393828,5.073400992787,2.373745090802
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,13.608733408274,-1.010697990155,-11.649751229486,5.29160243272,3.871906920907,-9.931223139652,2.687056734724,-0.014477556584,2.911267105456,6.850909939605,2.577780910265,6.385032179718,1.013044071279,2.265499522141,-7.360646630811,27.724923188683,11.581414790618,3.58391626463,1.744614350255,1.070138485421,-0.692142321782,7.261456940923,6.077043501987,1.591516454106,0.483013770277,5.484315959775,4.712521337626,-1.968541879024,-25.121331634466,26.379042844409,8.773853552359,5.972512877186,-5.129061933973,5.368891999437,-1.25934267678,0.175444714313,6.818035897269,-0.684292479956,-2.233917675752
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,6.410227714807,1.521517168705,0.281634666553,3.053570348899,1.616850240049,-0.001220165875,2.157689300231,2.224760755326,3.87661997912,4.309912880663,4.635429068359,3.923883620411,4.04706216051,3.801549897168,0.099358292414,5.886711343249,6.193604577902,6.858002101525,3.879144938378,3.959772822236,0.476934175208,3.208896753174,2.048514711002,4.330660141109,3.701995685173,4.593854361115,3.509688422408,1.71403392611,-5.01648244814,7.563442564375,5.172420717589,4.16633510107,1.477395200462,2.025211005483,3.586794186927,3.34002819889,3.504434329771,2.797380231015,0.884397415358
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Total<C1>,NA,10.389711485037,-0.081559926817,-6.475878326979,4.155364119327,2.84405000421,-5.495377727197,2.371884231907,0.878597902243,3.212366178076,5.626009419295,3.449765524722,5.062074467142,2.422377582248,2.78770898654,-3.37043359981,16.097385617989,9.022097410967,5.062162935387,2.554150614902,2.368432709713,-0.182177231854,5.302838153527,4.475008553842,2.879323523238,2.165013348662,4.711658119948,4.160448321026,-0.429964788688,-15.451565089995,16.287635815759,6.787471263294,5.035231631179,-2.064375907551,3.903733416229,0.842478985976,1.474508893362,5.151378928011,1.066397679572,-0.648937214172
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,0.213721043064,-0.095473102966,0.03043689528,0.018073898002,0.063746692601,-0.053313547592,0.02022771094,-0.089715067329,-0.022274800262,0.151445087672,0.051974988004,-0.006768835994,0.100868022852,-0.094072028689,0.382015457033,-0.381003650402,0.06654204953,0.204271188047,-0.050277212179,0.08305535582,-0.018144425081,0.006946293034,0.280295021339,0.176439469698,0.321468922959,-0.225701554674,0.090494002856,-0.095331337976,0.214324225304,0.036033727674,-0.09862337962,0.0246751233,-0.004048571931,0.211436682817,-0.128373387002,-0.170904840338,0.056886436383,0.109968879784,0.053492228901
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,7.582235520266,-0.579540893224,-6.61792669026,2.839727364161,2.100518163068,-5.44155729709,1.403196578944,-0.007583539639,1.511460584524,3.546453112173,1.349892920809,3.3154325426,0.532647634115,1.174784597397,-3.797503609866,13.713176397898,6.302060053169,1.995979635882,0.957951852271,0.582964906745,-0.372267087155,3.885603865017,3.312308021958,0.880761851432,0.263958844262,2.947743085463,2.551604420899,-1.071520418502,-13.462795572243,12.519995342625,4.525609067289,3.137964034403,-2.718861251227,2.75693336549,-0.655793009983,0.089457272274,3.431934316995,-0.3499057402,-1.122503280098
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,2.593754921707,0.593454069372,0.111611468001,1.297562857164,0.679785148541,-0.000506882514,0.948459942022,0.975896509211,1.723180393814,1.928111219449,2.047897615909,1.753410760535,1.788861925281,1.706996417831,0.045054553023,2.765212870493,2.653495308267,2.861912111458,1.64647597481,1.702412447148,0.208234280382,1.410287995476,0.882405510544,1.822122202108,1.579585581442,1.989616589159,1.518349897271,0.736886967789,-2.203093743056,3.73160674546,2.360485575625,1.872592473475,0.658533915607,0.935363367923,1.626645382961,1.555956461426,1.662558174633,1.306334539988,0.420073837025
