Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,184694.565,200605.869,200500.107,194538.736,200554.634,204971.121,199050.105,203337.661,205035.204,211145.162,223018.376,231353.213,236512.691,243240.785,249242.414,236299.976,241122.48,247006.776,256351.875,263681.824,282724.646,276543.929,267364.693,268247.066,284658.629,285708.482,294951.695,305622.537,316380.798,303066.175,312655.113,318762.638,330191.387,334097.307,340077.85699999996,358848.31399999995,376438.398,380987.655,390894.97000000003,399005.392
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,221500.467,245893.637,244165.605,227462.57,236403.169,242828.733,228241.708,233792.152,235394.758,243762.016,260798.505,272610.301,286551.069,294343.952,320743.844,304399.502,318748.724,351715.557,375189.622,389003.503,421682.693,407775.04,376131.733,365533.727,384484.325,404881.254,429625.189,435397.343,436717.189,410374.271,431501.919,471510.171,495926.031,510315.674,522896.949,549606.8230000001,578945.379,575986.463,581413.804,580480.5819999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,260401.114,283903.456,284156.587,270729.477,281155.5,288891.072,281594.481,290266.005,297533.658,309911.699,326245.945,339938.636,352529.132,364000.636,365675.134,360899.364,392397.206,403061.685,417344.87,411433.725,409384.762,397437.807,374453.371,374891.404,391243.029,421079.732,445309.616,454079.113,475202.827,495944.159,525011.917,549751.131,564003.811,553628.205,564794.2379999999,562212.3049999999,534685.495,509388.36100000003,467226.44600000005,448090.72
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,202148.879,221052.973,221369.064,210483.546,219047.45,225716.152,217158.391,223405.466,226770.703,234558.243,247200.298,254454.638,261905.025,265972.07,285145.728,265067.246,288134.319,308451.313,337995.713,360018.466,379569.363,361511.309,375490.518,391574.439,410112.746,436490.981,449609.24,464007.812,483350.662,439739.323,448215.116,456768.535,466371.322,473241.401,477891.309,492586.952,500458.04800000007,498369.426,508491.92799999996,517770.157
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,48014.674,52400.613,52438.251,50152.905,51967.69,53215.919,51541.456,52747.01,53498.337,55287.103,58147.663,60743.993,63371.953,64426.391,66648.219,62646.66,68466.659,75028.603,75936.846,81438.956,84470.633,87301.192,84518.04,83254.186,89789.73,79279.279,77889.934,79019.573,83246.79,81739.53,88809.886,86031.739,89918.601,87657.644,90362.51800000001,96458.62,96859.66700000002,95585.22700000001,98881.59900000002,103823.011
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,411742.585,442572.805,444623.143,434154.35,447494.32,456578.073,448836.665,458544.085,465543.898,480047.163,501400.217,519830.748,535733.762,547798.588,580628.682,563393.427,585546.211,603388.826,623931.966,613825.678,617345.854,605429.892,602163.463,613590.201,643859.491,648906.398,684557.368,705608.578,704314.03,688981.395,718148.55,746817.731,779730.434,781357.276,780785.3559999999,785745.9309999999,784930.108,776072.856,794018.6469999999,801505.7019999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,87934.565,95449.569,95772.004,92941.08,96022.62,97940.726,95553.677,97635.024,99038.933,102418.83,107448.34,111614.691,115190.89,119713.936,127858.8,119697.961,126563.704,133911.571,142108.839,147533.592,158132.945,160886.253,159571.753,161636.497,169013.747,176907.681,185462.602,191217.075,193158.623,189365.458,196149.981,202893.85,214700.599,215788.237,223858.76799999998,230374.52599999995,242505.30599999998,252391.12399999998,261283.809,264440.67
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,52903.602,56625.33,57223.942,56881.979,58713.776,60179.363,59892.859,61457.533,62688.035,64913.912,68219.296,71392.918,74863.619,77488.535,80413.207,81493.113,80925.45,83720.472,90020.358,88345.985,87995.598,91169.187,98038.536,101406.31,105664.685,105661.441,112108.368,115935.139,126383.577,130512,144730.56,144876.886,148728.64,146858.788,156808.457,159905.359,157998.05599999998,157621.131,157631.239,151751.70800000004
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0.693867505276,0.704327659556,0.707395393428,0.70252214412,0.710359292393,0.718387002795,0.717337305735,0.726649259831,0.735430002386,0.746982339175,0.763009396143,0.777172276852,0.794779877351,0.806695688181,0.820491546634,0.832270728998,0.838523280802,0.842430065767,0.851101298316,0.845976653591,0.875012076728,0.925019476398,0.968886053177,0.965018068521,0.969712514672,0.971162189501,0.991371894695,1.054442417377,1.048063138287,1.049591192531,1.060486085735,1.068409969843,1.086812573927,1.104805286746,1.185541740317,1.1955829474519999,1.246411552439,1.250478614902,1.270483194241,1.260065310142
