Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,47874.478,55380.673,54047.943,45783.568,48362.977,50318.989,44249.876,45829.215,46234.688,48341.564,52665.281,55180.164,59776.114,62015.208,66470.337,58118.325,68206.814,78959.765,88455.317,90811.215,91252.239,89278.905,83407.931,82772.045,90154.034,96990.245,100791.988,103663.741,102606.649,99340.845,107725.094,116821.677,120843.314,119646.255,134169.66100000002,143100.89800000002,151946.819,161573.61500000002,164694.24699999997,161811.47300000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,11148.677,12633.461,12411.825,10899.69,11468.548,11942.438,10953.149,11419.161,11686.702,12297.109,13403.197,14209.393,15614.817,16307.564,16232.565,13337.801,16441.396,16285.876,18045.8,17917.744,18283.975,19760.308,18017.013,18094.012,20410.348,25215.709,27847.641,27856,29338.494,26522.353,23191.02,24080.554,23594.318,25476.781,28051.250999999997,26634.507,32924.634,29754.636000000006,31413.716,32742.467999999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,50040.92,55930.721,54908.496,48582.899,50740.893,52512.685,48286.459,50071.171,51111.066,53533.712,57556.581,59623.675,61916.519,61624.501,68430.038,57533.989,65635.406,70132.833,73422.587,75955.404,79678.547,74950.191,73315.621,76821.585,83296.495,88270.713,92615.879,92883.101,96216.144,91221.121,95900.704,103786.458,112441.671,117201.817,120452.99,126859.641,133293.691,140412.91199999998,146493.169,144419.555
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,43495.344,49755.898,48804.577,42147.854,44543.971,46607.678,42182.844,44489.772,46118.111,49402.026,54499.71,57362.245,60490.876,61137.854,65553.364,57273.836,57937.771,59869.004,64840.074,71584.456,76105.364,62898.965,53701.437,54453.244,61843.431,58720.154,59590.343,66000.468,73288.457,70805.221,72667.116,72556.471,69291.384,68644.477,69484.19600000001,72821.104,76321.454,74880.57100000001,78464.88599999998,76884.15
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,113029.825,129260.046,127260.174,110494.618,116348.493,120829.154,107603.047,111117.366,112100.917,117122.69,127241.148,132949.463,142475.53,144651.422,162394.591,148518.741,156430.966,179585.163,188943.02,196857.811,217610.33,198356.589,173853.358,153963.981,167916.813,179740.87,199852.804,198602.064,193866.043,173918.607,179471.684,208191.031,218906.577,228563.888,234614.78100000002,248732.17500000002,266045.851,258986.8,254569.90800000002,254679.446
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,182807.387,199997.519,199977.405,187844.476,196213.055,203763.268,198675.027,206780.841,213620.743,223333.326,236147.333,245874.238,255581.479,262744.102,259218.814,255595.37,286210.895,289685.881,302983.834,293750.681,284930.026,271809.977,247742.708,246556.346,257398.454,282578.432,300337.281,306777.842,323711.461,350470.786,373455.023,390965.103,396940.424,381269.553,390177.14099999995,381719.80299999996,355071.833,329725.51,288192.472,266150.876
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,88053.295,100260.083,99230.27,87605.525,92791.025,97165.149,88370.889,91856.197,92836.802,96166.723,102712.013,103786.263,106107.627,101769.475,109375.772,96926.898,112698.474,124248.48,141946.661,156703.333,163849.256,146388.338,152724.655,159938.238,170067.117,190489,196103.529,202936.104,219839.068,190057.632,185238.668,183129.489,183669.349,184994.252,184394.63400000002,188856.178,184818.52099999998,178258.11800000002,183442.66,189357.81
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,25021.498,27689.848,27545.6,25310.211,26425.641,27329.967,25933.11,26713.714,27176.22,28108.285,29668.053,30985.985,32746.468,32247.489,32586.106,28685.36,32218.188,35314.382,35316.383,39879.644,39804.856,41809.587,39383.789,36489.62,42524.514,31010.406,26499.224,27399.417,28932.571,29194.251,34176.213,30452.286,31934.601,28331.63,30547.3,34680.756,34327.05700000001,32312.226000000002,35027.978,39665.069
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,150506.8,164761.821,164811.417,154764.797,161753.876,168079.169,163635.123,170353.866,175885.638,183901.13,194946.996,203442.495,213588.684,216824.008,232665.73,218611.013,235531.682,241088.991,251695.801,234742.437,221761.629,208625.037,204359.903,211686.515,230022.363,230152.957,247922.098,258176.923,254258.264,249469.854,257279.004,269809.359,284936.904,284598.411,274393.358,265583.825,264150.502,242499.05800000002,250453.892,249951.13700000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,20962.006,23794.388,23312.93,20361.656,21410.365,22270.528,20418.19,21283.623,21802.02,22883.841,24599.121,25456.49,26626.259,27230.778,30009.787,25419.577,28521.328,30720.466,34905.471,37877.618,40933.339,41570.504,38859.387,41180.89,42280.618,45805.503,50014.851,52509.467,51665.955,52441.103,52907.431,54251.873,58652.639,54505.899,58991.465000000004,59724.15700000001,64686.669,68778.004,69416.262,70245.40999999999
