Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0.638827902627,0.647689609856,0.655891753919,0.66479032957,0.674496117541,0.684980752043,0.696825689869,0.709095123612,0.722105125688,0.734580511118,0.747428819327,0.759671745336,0.772798716017,0.781156964553,0.791110872157,0.808142648336,0.827598379004,0.85621139935,0.888200452802,0.867257409797,0.883445191914,0.911269425879,0.947942592833,0.958961888794,0.957614767505,0.952664011177,0.946621288602,0.965155102827,0.977547412257,0.959927619733,0.949838889213,0.958857499772,0.962974484668,0.964698546739,0.980750476719,0.999920525722,1.032771770816,1.029589363749,1.041621862729,1.033726888856
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California<C1>,2.498310062477,2.504531959204,2.497038635625,2.48965211604,2.491967455888,2.493724619964,2.501767817349,2.512017901554,2.53237094626,2.560461385383,2.552548438143,2.584705426799,2.620645480222,2.500468409845,2.539172446916,2.534083490028,2.56885777714,2.67759674756,2.66561813412,2.778451345424,2.882517721061,2.830408277512,2.805808380963,2.886517667094,2.884449798937,2.922593826948,2.902132389348,2.892712422137,2.841793108492,2.783451737542,2.784412310667,2.808410373061,2.80505441342,2.824516940465,2.79932017086,2.815866580162,2.884358160264,2.893944016957,2.86056150938,2.88082375941
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0.613998172755,0.61360579409,0.61767629867,0.622981376773,0.625925670695,0.629530898106,0.635030000554,0.636683042122,0.639080466561,0.648630638599,0.642509304617,0.660589860984,0.694502741425,0.658479150955,0.659645784249,0.676110497085,0.714324392404,0.690398568308,0.662655922865,0.647388224622,0.651824335515,0.654717960317,0.649690836835,0.677997576708,0.703523408399,0.753024800331,0.779674196699,0.825140472043,0.800841314358,0.795516814178,0.817971881311,0.823158931185,0.833742101555,0.814195667433,0.810203390854,0.820384189844,0.84006609307,0.85576164926,0.888065071511,0.91861681524
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Campeche<C1>,0.884700066169,0.854005282318,0.85273008938,0.859713130395,0.850960260694,0.851541655272,0.863287203572,0.862333146034,0.86167579468,0.85075784029,0.838235730242,0.823891796557,0.814391773037,0.798287282294,0.784424094756,0.831905065672,0.799912743811,0.789950689653,0.736324146379,0.71747642609,0.721953843546,0.738580492014,0.737119808287,0.761257615873,0.770316988203,0.780518648242,0.774294503223,0.762813954972,0.776106468774,0.774111119212,0.761583340073,0.769605294961,0.764548423427,0.764827120592,0.755929474095,0.733246704828,0.68488503471,0.659812927349,0.654952145025,0.649643657449
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,2.150951645299,2.109564983111,2.121710516553,2.150697586716,2.151845578271,2.171948251467,2.215719415703,2.236313623658,2.258855770857,2.260850531322,2.259811840461,2.25433027194,2.259540187495,2.251798500582,2.233268791798,2.318594127011,2.361221606219,2.352654747117,2.398249929413,2.406148467571,2.365754202743,2.36927782852,2.424009394056,2.446200419649,2.452940983767,2.476907983506,2.481117450642,2.491989578664,2.476650734623,2.453519331932,2.497929603452,2.514278563649,2.516363968113,2.499156273774,2.481906939893,2.464168654599,2.461710248019,2.471381816375,2.468267311601,2.475605415265
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Colima<C1>,0.568154042261,0.558678980341,0.570950745209,0.589317827376,0.593438672114,0.604595418665,0.624898104352,0.63295951791,0.64028005924,0.637102620457,0.631270496377,0.622810299601,0.617959554535,0.60560422634,0.612937610318,0.608845498026,0.623556773476,0.613503417542,0.621274297246,0.615745756152,0.589562235786,0.587299857673,0.581708544109,0.584969195861,0.577806647476,0.583687536383,0.589529522863,0.599535813692,0.600712748372,0.609896444526,0.620122766968,0.622376318977,0.625725454579,0.619950627741,0.631556985899,0.621318804695,0.621956687764,0.634886061671,0.644073225454,0.644345590242
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chiapas<C1>,2.095211269481,2.033618865406,2.042466090241,2.071256695067,2.06017190409,2.071782009379,2.111332432247,2.118009214016,2.124797842074,2.104251169096,2.078557863702,2.047246526777,2.027836036044,1.980134066127,1.992240200081,2.043493532143,1.981999141471,1.944532767649,1.940522104795,1.946199666805,1.921130008036,1.925922172164,1.940307149607,1.922836114198,1.907913522794,1.916117114282,1.856734584024,1.886649191267,1.851965801867,1.899139301487,1.850762793152,1.856035170423,1.834442455043,1.843716228918,1.872291614576,1.798492922116,1.782801896361,1.74402053292,1.662584996607,1.64822659289
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chihuahua<C1>,2.303330794959,2.301865393178,2.300116901282,2.300062240984,2.303734359989,2.309099090402,2.316580928769,2.327251591053,2.340160251639,2.35417054098,2.370508160479,2.386012275726,2.403020459984,2.42028944009,2.416467915774,2.438950188774,2.458498188131,2.409129985439,2.499421858396,2.554136811214,2.634069891202,2.597367726874,2.607053873469,2.651746722002,2.636468901781,2.659423051251,2.712019226732,2.722582600633,2.755562022619,2.642908313094,2.639891160371,2.637859253397,2.639907921567,2.617018967351,2.580186369574,2.60046813767,2.627391746145,2.615846159351,2.626365326591,2.643742392144
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Ciudad de México<C1>,26.876531498411,27.626421661922,27.419795677253,26.920287373552,26.942563826415,26.633953003763,25.905248489075,25.616800960604,25.300599563149,25.357841348905,25.514539145124,25.715461709547,25.720662796102,26.236608768672,26.235425454153,25.914579383082,25.977804805472,25.983436123293,25.623370028155,25.624471065224,25.652756720883,25.208179753909,25.146958962947,24.551775935192,24.677378675506,24.390461731436,24.398465782259,24.185387410978,24.242597521876,24.356769501971,24.155541300312,23.898740399857,23.893100568174,23.945065785748,23.930606600857,24.241758611197,24.097475908287,24.121704384572,24.119640435002,24.109557529277
